Time,Value,Setpoint
1,0.000000,2.000000
2,0.419765,2.000000
3,0.692527,2.000000
4,0.814227,2.000000
5,0.805399,2.000000
6,0.725747,2.000000
7,0.637586,2.000000
8,0.585171,2.000000
9,0.585171,2.000000
10,0.624750,2.000000
11,0.680661,2.000000
12,0.739719,2.000000
13,0.799606,2.000000
14,0.860277,2.000000
15,0.920126,2.000000
16,0.977606,2.000000
17,1.032376,2.000000
18,1.084473,2.000000
19,1.133739,2.000000
20,1.180074,2.000000
